pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
83.775,-55.5,90.0,top,D1,,,LED_D5.0mm,LED,tht
103.0,-55.5,90.0,top,D2,,,LED_D5.0mm,LED,tht
121.5,-54.5,90.0,top,D3,,,LED_D5.0mm,LED,tht
140.75,-42.9075,90.0,top,J1,,,JWT_A3963_1x02_P3.96mm_Vertical,Conn_01x02,tht
63.0,-49.62,-90.0,top,J2,,,JWT_A3963_1x02_P3.96mm_Vertical,Conn_01x02,tht
63.0,-60.12,-90.0,top,J3,,,JWT_A3963_1x02_P3.96mm_Vertical,Conn_01x02,tht
70.38,-38.0,180.0,top,J4,,,JWT_A3963_1x02_P3.96mm_Vertical,Conn_01x02,tht
92.9075,-37.75,180.0,top,J5,,,JWT_A3963_1x02_P3.96mm_Vertical,Conn_01x02,tht
117.4075,-37.75,180.0,top,J6,,,JWT_A3963_1x02_P3.96mm_Vertical,Conn_01x02,tht
82.0,-35.5,180.0,top,Q1,,,TO-220-3_Vertical,IRF4905,tht
105.5,-35.5,180.0,top,Q2,,,TO-220-3_Vertical,IRF4905,tht
129.5,-35.5,180.0,top,Q3,,,TO-220-3_Vertical,IRF4905,tht
74.275,-75.5,90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330,tht
114.9,-76.0,90.0,top,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330,tht
118.95,-76.0,90.0,top,R11,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
123.0,-76.0,90.0,top,R12,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,120,tht
81.275,-75.58,90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
84.775,-75.5,90.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,120,tht
77.775,-75.58,90.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330,tht
91.85,-75.5,90.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330,tht
95.9,-75.5,90.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330,tht
99.95,-75.5,90.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
104.0,-75.5,90.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,120,tht
110.85,-76.0,90.0,top,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330,tht
74.0,-57.53,90.0,top,U1,,,DIP-4_W7.62mm,PC817,tht
91.96,-58.345,90.0,top,U2,,,DIP-4_W7.62mm,PC817,tht
110.725,-57.035,90.0,top,U3,,,DIP-4_W7.62mm,PC817,tht
